Year,Sector,Source,Accounts,Value
1990,,"Land use, land-use change and forestry",UNFCCC - NIR,9407.11
1991,,"Land use, land-use change and forestry",UNFCCC - NIR,9403.53
1992,,"Land use, land-use change and forestry",UNFCCC - NIR,9392.23
1993,,"Land use, land-use change and forestry",UNFCCC - NIR,9391.45
1994,,"Land use, land-use change and forestry",UNFCCC - NIR,9367.13
1995,,"Land use, land-use change and forestry",UNFCCC - NIR,9360.9
1996,,"Land use, land-use change and forestry",UNFCCC - NIR,9358.96
1997,,"Land use, land-use change and forestry",UNFCCC - NIR,9358.19
1998,,"Land use, land-use change and forestry",UNFCCC - NIR,9361.14
1999,,"Land use, land-use change and forestry",UNFCCC - NIR,9371.13
2000,,"Land use, land-use change and forestry",UNFCCC - NIR,9386.94
2001,,"Land use, land-use change and forestry",UNFCCC - NIR,9399.03
2002,,"Land use, land-use change and forestry",UNFCCC - NIR,9423.18
2003,,"Land use, land-use change and forestry",UNFCCC - NIR,9416.56
2004,,"Land use, land-use change and forestry",UNFCCC - NIR,9419.73
2005,,"Land use, land-use change and forestry",UNFCCC - NIR,9427.24
2006,,"Land use, land-use change and forestry",UNFCCC - NIR,9481.01
2007,,"Land use, land-use change and forestry",UNFCCC - NIR,9508.38
2008,,"Land use, land-use change and forestry",UNFCCC - NIR,9525.93
2009,,"Land use, land-use change and forestry",UNFCCC - NIR,9499.8
2010,,"Land use, land-use change and forestry",UNFCCC - NIR,9471.94
2011,,"Land use, land-use change and forestry",UNFCCC - NIR,9442.06
2012,,"Land use, land-use change and forestry",UNFCCC - NIR,9432.07
2013,,"Land use, land-use change and forestry",UNFCCC - NIR,9414.14
2014,,"Land use, land-use change and forestry",UNFCCC - NIR,9390.65
2015,,"Land use, land-use change and forestry",UNFCCC - NIR,9363.32
2016,,"Land use, land-use change and forestry",UNFCCC - NIR,9345.3
2017,,"Land use, land-use change and forestry",UNFCCC - NIR,9320.78
2018,,"Land use, land-use change and forestry",UNFCCC - NIR,9409.71
2019,,"Land use, land-use change and forestry",UNFCCC - NIR,9410.33
2020,,"Land use, land-use change and forestry",UNFCCC - NIR,9420.78
2021,,"Land use, land-use change and forestry",UNFCCC - NIR,9397.83
1990,,Waste,UNFCCC - NIR,180.89
1991,,Waste,UNFCCC - NIR,187.3
1992,,Waste,UNFCCC - NIR,203.12
1993,,Waste,UNFCCC - NIR,215.0
1994,,Waste,UNFCCC - NIR,226.85
1995,,Waste,UNFCCC - NIR,238.7
1996,,Waste,UNFCCC - NIR,242.74
1997,,Waste,UNFCCC - NIR,247.33
1998,,Waste,UNFCCC - NIR,253.51
1999,,Waste,UNFCCC - NIR,260.39
2000,,Waste,UNFCCC - NIR,266.89
2001,,Waste,UNFCCC - NIR,276.21
2002,,Waste,UNFCCC - NIR,279.39
2003,,Waste,UNFCCC - NIR,280.18
2004,,Waste,UNFCCC - NIR,291.53
2005,,Waste,UNFCCC - NIR,279.44
2006,,Waste,UNFCCC - NIR,314.88
2007,,Waste,UNFCCC - NIR,314.13
2008,,Waste,UNFCCC - NIR,301.04
2009,,Waste,UNFCCC - NIR,291.01
2010,,Waste,UNFCCC - NIR,290.99
2011,,Waste,UNFCCC - NIR,267.7
2012,,Waste,UNFCCC - NIR,238.67
2013,,Waste,UNFCCC - NIR,251.93
2014,,Waste,UNFCCC - NIR,249.88
2015,,Waste,UNFCCC - NIR,244.64
2016,,Waste,UNFCCC - NIR,237.16
2017,,Waste,UNFCCC - NIR,229.62
2018,,Waste,UNFCCC - NIR,280.2
2019,,Waste,UNFCCC - NIR,241.11
2020,,Waste,UNFCCC - NIR,265.65
2021,,Waste,UNFCCC - NIR,268.48
1995,,,Eurostat - AEA,3722.04
1996,,,Eurostat - AEA,3974.23
1997,,,Eurostat - AEA,4173.86
1998,,,Eurostat - AEA,4335.22
1999,,,Eurostat - AEA,4670.35
2000,,,Eurostat - AEA,4755.38
2001,,,Eurostat - AEA,4566.99
2002,,,Eurostat - AEA,4573.43
2003,,,Eurostat - AEA,4789.4
2004,,,Eurostat - AEA,4856.84
2005,,,Eurostat - AEA,4808.74
2006,,,Eurostat - AEA,5403.42
2007,,,Eurostat - AEA,5596.17
2008,,,Eurostat - AEA,6010.98
2009,,,Eurostat - AEA,5570.86
2010,,,Eurostat - AEA,5569.04
2011,,,Eurostat - AEA,5389.65
2012,,,Eurostat - AEA,5521.96
2013,,,Eurostat - AEA,5838.17
2014,,,Eurostat - AEA,5842.49
2015,,,Eurostat - AEA,6441.03
2016,,,Eurostat - AEA,6897.28
2017,,,Eurostat - AEA,7350.86
2018,,,Eurostat - AEA,8948.12
2019,,,Eurostat - AEA,7509.19
2020,,,Eurostat - AEA,5579.99
2021,,,Eurostat - AEA,5609.36
2022,,,Eurostat - AEA,6502.13
1995,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1463.95
1996,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1541.69
1997,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1519.37
1998,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1509.54
1999,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1500.84
2000,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1442.4
2001,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1354.55
2002,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1407.8
2003,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1363.26
2004,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1332.45
2005,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1320.02
2006,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1273.2
2007,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1305.05
2008,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1273.22
2009,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1352.96
2010,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1296.8
2011,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1276.17
2012,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1257.32
2013,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1251.31
2014,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1256.23
2015,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1259.42
2016,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1237.66
2017,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1198.21
2018,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1206.86
2019,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1198.92
2020,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1197.69
2021,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1201.29
2022,"A - Agriculture, forestry and fishing",,Eurostat - AEA,1198.16
1995,B - Mining and quarrying,,Eurostat - AEA,0.47
1996,B - Mining and quarrying,,Eurostat - AEA,0.4
1997,B - Mining and quarrying,,Eurostat - AEA,0.49
1998,B - Mining and quarrying,,Eurostat - AEA,0.5
1999,B - Mining and quarrying,,Eurostat - AEA,0.57
2000,B - Mining and quarrying,,Eurostat - AEA,0.62
2001,B - Mining and quarrying,,Eurostat - AEA,0.63
2002,B - Mining and quarrying,,Eurostat - AEA,0.65
2003,B - Mining and quarrying,,Eurostat - AEA,0.79
2004,B - Mining and quarrying,,Eurostat - AEA,0.87
2005,B - Mining and quarrying,,Eurostat - AEA,0.82
2006,B - Mining and quarrying,,Eurostat - AEA,1.56
2007,B - Mining and quarrying,,Eurostat - AEA,1.17
2008,B - Mining and quarrying,,Eurostat - AEA,0.89
2009,B - Mining and quarrying,,Eurostat - AEA,1.01
2010,B - Mining and quarrying,,Eurostat - AEA,1.22
2011,B - Mining and quarrying,,Eurostat - AEA,1.18
2012,B - Mining and quarrying,,Eurostat - AEA,1.56
2013,B - Mining and quarrying,,Eurostat - AEA,1.31
2014,B - Mining and quarrying,,Eurostat - AEA,1.45
2015,B - Mining and quarrying,,Eurostat - AEA,1.45
2016,B - Mining and quarrying,,Eurostat - AEA,1.89
2017,B - Mining and quarrying,,Eurostat - AEA,2.35
2018,B - Mining and quarrying,,Eurostat - AEA,2.66
2019,B - Mining and quarrying,,Eurostat - AEA,3.21
2020,B - Mining and quarrying,,Eurostat - AEA,3.68
2021,B - Mining and quarrying,,Eurostat - AEA,4.78
2022,B - Mining and quarrying,,Eurostat - AEA,4.84
1995,C - Manufacturing,,Eurostat - AEA,768.44
1996,C - Manufacturing,,Eurostat - AEA,779.06
1997,C - Manufacturing,,Eurostat - AEA,927.45
1998,C - Manufacturing,,Eurostat - AEA,1025.14
1999,C - Manufacturing,,Eurostat - AEA,1170.51
2000,C - Manufacturing,,Eurostat - AEA,1156.16
2001,C - Manufacturing,,Eurostat - AEA,1194.99
2002,C - Manufacturing,,Eurostat - AEA,1203.78
2003,C - Manufacturing,,Eurostat - AEA,1193.04
2004,C - Manufacturing,,Eurostat - AEA,1176.28
2005,C - Manufacturing,,Eurostat - AEA,1084.55
2006,C - Manufacturing,,Eurostat - AEA,1558.5
2007,C - Manufacturing,,Eurostat - AEA,1671.71
2008,C - Manufacturing,,Eurostat - AEA,2164.49
2009,C - Manufacturing,,Eurostat - AEA,1940.89
2010,C - Manufacturing,,Eurostat - AEA,1932.87
2011,C - Manufacturing,,Eurostat - AEA,1821.5
2012,C - Manufacturing,,Eurostat - AEA,1891.0
2013,C - Manufacturing,,Eurostat - AEA,1905.57
2014,C - Manufacturing,,Eurostat - AEA,1849.04
2015,C - Manufacturing,,Eurostat - AEA,1935.9
2016,C - Manufacturing,,Eurostat - AEA,1906.47
2017,C - Manufacturing,,Eurostat - AEA,1962.82
2018,C - Manufacturing,,Eurostat - AEA,1996.68
2019,C - Manufacturing,,Eurostat - AEA,2079.62
2020,C - Manufacturing,,Eurostat - AEA,2053.66
2021,C - Manufacturing,,Eurostat - AEA,2128.38
2022,C - Manufacturing,,Eurostat - AEA,2108.69
1995,D - Electricity and power generation,,Eurostat - AEA,87.99
1996,D - Electricity and power generation,,Eurostat - AEA,87.53
1997,D - Electricity and power generation,,Eurostat - AEA,71.4
1998,D - Electricity and power generation,,Eurostat - AEA,90.67
1999,D - Electricity and power generation,,Eurostat - AEA,117.66
2000,D - Electricity and power generation,,Eurostat - AEA,159.97
2001,D - Electricity and power generation,,Eurostat - AEA,150.07
2002,D - Electricity and power generation,,Eurostat - AEA,154.48
2003,D - Electricity and power generation,,Eurostat - AEA,142.7
2004,D - Electricity and power generation,,Eurostat - AEA,127.56
2005,D - Electricity and power generation,,Eurostat - AEA,123.83
2006,D - Electricity and power generation,,Eurostat - AEA,137.81
2007,D - Electricity and power generation,,Eurostat - AEA,172.18
2008,D - Electricity and power generation,,Eurostat - AEA,198.94
2009,D - Electricity and power generation,,Eurostat - AEA,180.97
2010,D - Electricity and power generation,,Eurostat - AEA,203.15
2011,D - Electricity and power generation,,Eurostat - AEA,190.73
2012,D - Electricity and power generation,,Eurostat - AEA,185.61
2013,D - Electricity and power generation,,Eurostat - AEA,186.07
2014,D - Electricity and power generation,,Eurostat - AEA,196.26
2015,D - Electricity and power generation,,Eurostat - AEA,175.32
2016,D - Electricity and power generation,,Eurostat - AEA,157.96
2017,D - Electricity and power generation,,Eurostat - AEA,156.55
2018,D - Electricity and power generation,,Eurostat - AEA,167.61
2019,D - Electricity and power generation,,Eurostat - AEA,177.78
2020,D - Electricity and power generation,,Eurostat - AEA,188.19
2021,D - Electricity and power generation,,Eurostat - AEA,187.65
2022,D - Electricity and power generation,,Eurostat - AEA,189.41
1995,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,303.54
1996,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,318.83
1997,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,327.69
1998,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,318.6
1999,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,326.91
2000,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,339.59
2001,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,348.81
2002,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,362.37
2003,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,357.82
2004,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,361.63
2005,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,346.83
2006,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,375.68
2007,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,380.19
2008,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,358.8
2009,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,346.82
2010,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,348.36
2011,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,331.08
2012,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,313.17
2013,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,329.16
2014,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,312.39
2015,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,305.29
2016,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,296.51
2017,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,296.12
2018,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,317.44
2019,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,280.32
2020,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,311.16
2021,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,307.77
2022,"E - Water collection, waste management and remediation activities",,Eurostat - AEA,312.02
1995,F - Construction,,Eurostat - AEA,169.98
1996,F - Construction,,Eurostat - AEA,162.13
1997,F - Construction,,Eurostat - AEA,199.07
1998,F - Construction,,Eurostat - AEA,204.66
1999,F - Construction,,Eurostat - AEA,230.92
2000,F - Construction,,Eurostat - AEA,242.81
2001,F - Construction,,Eurostat - AEA,240.99
2002,F - Construction,,Eurostat - AEA,231.09
2003,F - Construction,,Eurostat - AEA,217.85
2004,F - Construction,,Eurostat - AEA,256.16
2005,F - Construction,,Eurostat - AEA,276.41
2006,F - Construction,,Eurostat - AEA,275.62
2007,F - Construction,,Eurostat - AEA,291.8
2008,F - Construction,,Eurostat - AEA,276.45
2009,F - Construction,,Eurostat - AEA,206.65
2010,F - Construction,,Eurostat - AEA,167.33
2011,F - Construction,,Eurostat - AEA,146.01
2012,F - Construction,,Eurostat - AEA,146.91
2013,F - Construction,,Eurostat - AEA,142.85
2014,F - Construction,,Eurostat - AEA,162.45
2015,F - Construction,,Eurostat - AEA,170.04
2016,F - Construction,,Eurostat - AEA,194.98
2017,F - Construction,,Eurostat - AEA,212.42
2018,F - Construction,,Eurostat - AEA,190.58
2019,F - Construction,,Eurostat - AEA,208.39
2020,F - Construction,,Eurostat - AEA,137.28
2021,F - Construction,,Eurostat - AEA,118.53
2022,F - Construction,,Eurostat - AEA,138.76
1995,G - Trade and repair of mechanical equipment,,Eurostat - AEA,35.02
1996,G - Trade and repair of mechanical equipment,,Eurostat - AEA,33.64
1997,G - Trade and repair of mechanical equipment,,Eurostat - AEA,36.71
1998,G - Trade and repair of mechanical equipment,,Eurostat - AEA,38.35
1999,G - Trade and repair of mechanical equipment,,Eurostat - AEA,41.33
2000,G - Trade and repair of mechanical equipment,,Eurostat - AEA,43.1
2001,G - Trade and repair of mechanical equipment,,Eurostat - AEA,43.87
2002,G - Trade and repair of mechanical equipment,,Eurostat - AEA,45.12
2003,G - Trade and repair of mechanical equipment,,Eurostat - AEA,49.77
2004,G - Trade and repair of mechanical equipment,,Eurostat - AEA,53.11
2005,G - Trade and repair of mechanical equipment,,Eurostat - AEA,84.35
2006,G - Trade and repair of mechanical equipment,,Eurostat - AEA,89.65
2007,G - Trade and repair of mechanical equipment,,Eurostat - AEA,83.49
2008,G - Trade and repair of mechanical equipment,,Eurostat - AEA,68.37
2009,G - Trade and repair of mechanical equipment,,Eurostat - AEA,57.27
2010,G - Trade and repair of mechanical equipment,,Eurostat - AEA,48.04
2011,G - Trade and repair of mechanical equipment,,Eurostat - AEA,45.39
2012,G - Trade and repair of mechanical equipment,,Eurostat - AEA,49.0
2013,G - Trade and repair of mechanical equipment,,Eurostat - AEA,49.58
2014,G - Trade and repair of mechanical equipment,,Eurostat - AEA,51.87
2015,G - Trade and repair of mechanical equipment,,Eurostat - AEA,56.52
2016,G - Trade and repair of mechanical equipment,,Eurostat - AEA,67.21
2017,G - Trade and repair of mechanical equipment,,Eurostat - AEA,73.42
2018,G - Trade and repair of mechanical equipment,,Eurostat - AEA,75.4
2019,G - Trade and repair of mechanical equipment,,Eurostat - AEA,80.15
2020,G - Trade and repair of mechanical equipment,,Eurostat - AEA,72.61
2021,G - Trade and repair of mechanical equipment,,Eurostat - AEA,69.19
2022,G - Trade and repair of mechanical equipment,,Eurostat - AEA,74.22
1995,H - Tranportation and storage,,Eurostat - AEA,406.89
1996,H - Tranportation and storage,,Eurostat - AEA,562.28
1997,H - Tranportation and storage,,Eurostat - AEA,597.02
1998,H - Tranportation and storage,,Eurostat - AEA,632.88
1999,H - Tranportation and storage,,Eurostat - AEA,748.91
2000,H - Tranportation and storage,,Eurostat - AEA,843.76
2001,H - Tranportation and storage,,Eurostat - AEA,705.64
2002,H - Tranportation and storage,,Eurostat - AEA,636.13
2003,H - Tranportation and storage,,Eurostat - AEA,904.63
2004,H - Tranportation and storage,,Eurostat - AEA,964.46
2005,H - Tranportation and storage,,Eurostat - AEA,995.79
2006,H - Tranportation and storage,,Eurostat - AEA,1053.84
2007,H - Tranportation and storage,,Eurostat - AEA,1068.9
2008,H - Tranportation and storage,,Eurostat - AEA,1063.98
2009,H - Tranportation and storage,,Eurostat - AEA,851.22
2010,H - Tranportation and storage,,Eurostat - AEA,948.36
2011,H - Tranportation and storage,,Eurostat - AEA,971.01
2012,H - Tranportation and storage,,Eurostat - AEA,1087.62
2013,H - Tranportation and storage,,Eurostat - AEA,1389.17
2014,H - Tranportation and storage,,Eurostat - AEA,1427.36
2015,H - Tranportation and storage,,Eurostat - AEA,1936.88
2016,H - Tranportation and storage,,Eurostat - AEA,2407.83
2017,H - Tranportation and storage,,Eurostat - AEA,2806.3
2018,H - Tranportation and storage,,Eurostat - AEA,4337.69
2019,H - Tranportation and storage,,Eurostat - AEA,2845.51
2020,H - Tranportation and storage,,Eurostat - AEA,1046.02
2021,H - Tranportation and storage,,Eurostat - AEA,997.19
2022,H - Tranportation and storage,,Eurostat - AEA,1869.46
1995,I - Accommodation and food services activities,,Eurostat - AEA,1.94
1996,I - Accommodation and food services activities,,Eurostat - AEA,1.89
1997,I - Accommodation and food services activities,,Eurostat - AEA,1.98
1998,I - Accommodation and food services activities,,Eurostat - AEA,2.04
1999,I - Accommodation and food services activities,,Eurostat - AEA,2.13
2000,I - Accommodation and food services activities,,Eurostat - AEA,2.16
2001,I - Accommodation and food services activities,,Eurostat - AEA,2.18
2002,I - Accommodation and food services activities,,Eurostat - AEA,2.21
2003,I - Accommodation and food services activities,,Eurostat - AEA,2.37
2004,I - Accommodation and food services activities,,Eurostat - AEA,2.49
2005,I - Accommodation and food services activities,,Eurostat - AEA,1.75
2006,I - Accommodation and food services activities,,Eurostat - AEA,2.5
2007,I - Accommodation and food services activities,,Eurostat - AEA,2.27
2008,I - Accommodation and food services activities,,Eurostat - AEA,2.65
2009,I - Accommodation and food services activities,,Eurostat - AEA,2.88
2010,I - Accommodation and food services activities,,Eurostat - AEA,2.97
2011,I - Accommodation and food services activities,,Eurostat - AEA,2.86
2012,I - Accommodation and food services activities,,Eurostat - AEA,3.29
2013,I - Accommodation and food services activities,,Eurostat - AEA,3.51
2014,I - Accommodation and food services activities,,Eurostat - AEA,3.87
2015,I - Accommodation and food services activities,,Eurostat - AEA,4.38
2016,I - Accommodation and food services activities,,Eurostat - AEA,4.79
2017,I - Accommodation and food services activities,,Eurostat - AEA,5.4
2018,I - Accommodation and food services activities,,Eurostat - AEA,5.59
2019,I - Accommodation and food services activities,,Eurostat - AEA,5.81
2020,I - Accommodation and food services activities,,Eurostat - AEA,4.99
2021,I - Accommodation and food services activities,,Eurostat - AEA,5.1
2022,I - Accommodation and food services activities,,Eurostat - AEA,5.4
1995,J - Information and communication,,Eurostat - AEA,2.42
1996,J - Information and communication,,Eurostat - AEA,2.38
1997,J - Information and communication,,Eurostat - AEA,2.47
1998,J - Information and communication,,Eurostat - AEA,2.54
1999,J - Information and communication,,Eurostat - AEA,2.64
2000,J - Information and communication,,Eurostat - AEA,2.67
2001,J - Information and communication,,Eurostat - AEA,2.69
2002,J - Information and communication,,Eurostat - AEA,2.73
2003,J - Information and communication,,Eurostat - AEA,2.9
2004,J - Information and communication,,Eurostat - AEA,3.04
2005,J - Information and communication,,Eurostat - AEA,2.99
2006,J - Information and communication,,Eurostat - AEA,3.87
2007,J - Information and communication,,Eurostat - AEA,3.84
2008,J - Information and communication,,Eurostat - AEA,3.4
2009,J - Information and communication,,Eurostat - AEA,3.3
2010,J - Information and communication,,Eurostat - AEA,3.1
2011,J - Information and communication,,Eurostat - AEA,2.93
2012,J - Information and communication,,Eurostat - AEA,2.96
2013,J - Information and communication,,Eurostat - AEA,3.35
2014,J - Information and communication,,Eurostat - AEA,3.19
2015,J - Information and communication,,Eurostat - AEA,3.05
2016,J - Information and communication,,Eurostat - AEA,3.09
2017,J - Information and communication,,Eurostat - AEA,3.25
2018,J - Information and communication,,Eurostat - AEA,3.57
2019,J - Information and communication,,Eurostat - AEA,3.3
2020,J - Information and communication,,Eurostat - AEA,2.64
