Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
2004,Banvænt,Bæði,Öll,2
2005,Banvænt,Bæði,Öll,3
2006,Banvænt,Bæði,Öll,6
2007,Banvænt,Bæði,Öll,4
2008,Banvænt,Bæði,Öll,5
2009,Banvænt,Bæði,Öll,3
2010,Banvænt,Bæði,Öll,3
2011,Banvænt,Bæði,Öll,3
2012,Banvænt,Bæði,Öll,0
2013,Banvænt,Bæði,Öll,1
2014,Banvænt,Bæði,Öll,2
2015,Banvænt,Bæði,Öll,2
2016,Banvænt,Bæði,Öll,4
2017,Banvænt,Bæði,Öll,2
2018,Banvænt,Bæði,Öll,3
2019,Banvænt,Bæði,Öll,2
2020,Banvænt,Bæði,Öll,3
2021,Banvænt,Bæði,Öll,3
2022,Banvænt,Bæði,Öll,1
1980,Banvænt,Karl,Öll,8
1981,Banvænt,Karl,Öll,8
1982,Banvænt,Karl,Öll,7
1983,Banvænt,Karl,Öll,3
1984,Banvænt,Karl,Öll,4
1985,Banvænt,Karl,Öll,5
1986,Banvænt,Karl,Öll,5
1987,Banvænt,Karl,Öll,4
1988,Banvænt,Karl,Öll,1
1989,Banvænt,Karl,Öll,6
1990,Banvænt,Karl,Öll,5
1991,Banvænt,Karl,Öll,9
1992,Banvænt,Karl,Öll,4
1993,Banvænt,Karl,Öll,4
1994,Banvænt,Karl,Öll,8
1995,Banvænt,Karl,Öll,3
1996,Banvænt,Karl,Öll,3
1997,Banvænt,Karl,Öll,4
1998,Banvænt,Karl,Öll,2
1999,Banvænt,Karl,Öll,5
2000,Banvænt,Karl,Öll,4
2001,Banvænt,Karl,Öll,3
2002,Banvænt,Karl,Öll,0
2003,Banvænt,Karl,Öll,4
2004,Banvænt,Karl,Öll,2
2005,Banvænt,Karl,Öll,3
2006,Banvænt,Karl,Öll,6
2007,Banvænt,Karl,Öll,4
2008,Banvænt,Karl,Öll,5
2009,Banvænt,Karl,Öll,3
2010,Banvænt,Karl,Öll,3
2011,Banvænt,Karl,Öll,3
2012,Banvænt,Karl,Öll,0
2013,Banvænt,Karl,Öll,0
2014,Banvænt,Karl,Öll,1
2015,Banvænt,Karl,Öll,2
2016,Banvænt,Karl,Öll,4
2017,Banvænt,Karl,Öll,2
2018,Banvænt,Karl,Öll,3
2019,Banvænt,Karl,Öll,2
2020,Banvænt,Karl,Öll,3
2021,Banvænt,Karl,Öll,3
2022,Banvænt,Karl,Öll,1
1980,Banvænt,Kona,Öll,0
1981,Banvænt,Kona,Öll,0
1982,Banvænt,Kona,Öll,0
1983,Banvænt,Kona,Öll,0
1984,Banvænt,Kona,Öll,1
1985,Banvænt,Kona,Öll,1
1986,Banvænt,Kona,Öll,0
1987,Banvænt,Kona,Öll,0
1988,Banvænt,Kona,Öll,0
1989,Banvænt,Kona,Öll,1
1990,Banvænt,Kona,Öll,0
1991,Banvænt,Kona,Öll,0
1992,Banvænt,Kona,Öll,0
1993,Banvænt,Kona,Öll,0
1994,Banvænt,Kona,Öll,0
1995,Banvænt,Kona,Öll,0
1996,Banvænt,Kona,Öll,0
1997,Banvænt,Kona,Öll,0
1998,Banvænt,Kona,Öll,0
1999,Banvænt,Kona,Öll,2
2000,Banvænt,Kona,Öll,0
2001,Banvænt,Kona,Öll,0
2002,Banvænt,Kona,Öll,0
2003,Banvænt,Kona,Öll,0
2004,Banvænt,Kona,Öll,0
2005,Banvænt,Kona,Öll,0
2006,Banvænt,Kona,Öll,0
2007,Banvænt,Kona,Öll,0
2008,Banvænt,Kona,Öll,0
2009,Banvænt,Kona,Öll,0
2010,Banvænt,Kona,Öll,0
2011,Banvænt,Kona,Öll,0
2012,Banvænt,Kona,Öll,0
2013,Banvænt,Kona,Öll,1
2014,Banvænt,Kona,Öll,1
2015,Banvænt,Kona,Öll,0
2016,Banvænt,Kona,Öll,0
2017,Banvænt,Kona,Öll,0
2018,Banvænt,Kona,Öll,0
2019,Banvænt,Kona,Öll,0
2020,Banvænt,Kona,Öll,0
2021,Banvænt,Kona,Öll,0
2022,Banvænt,Kona,Öll,0
1980,Óbanvænt,Karl,Öll,0
1981,Óbanvænt,Karl,Öll,0
1982,Óbanvænt,Karl,Öll,0
1983,Óbanvænt,Karl,Öll,0
1984,Óbanvænt,Karl,Öll,268
1985,Óbanvænt,Karl,Öll,277
1986,Óbanvænt,Karl,Öll,303
1987,Óbanvænt,Karl,Öll,304
1988,Óbanvænt,Karl,Öll,341
1989,Óbanvænt,Karl,Öll,326
1990,Óbanvænt,Karl,Öll,599
1991,Óbanvænt,Karl,Öll,522
1992,Óbanvænt,Karl,Öll,530
1993,Óbanvænt,Karl,Öll,505
1994,Óbanvænt,Karl,Öll,485
1995,Óbanvænt,Karl,Öll,670
1996,Óbanvænt,Karl,Öll,816
1997,Óbanvænt,Karl,Öll,947
1998,Óbanvænt,Karl,Öll,1019
1999,Óbanvænt,Karl,Öll,1002
2000,Óbanvænt,Karl,Öll,1045
2001,Óbanvænt,Karl,Öll,1029
2002,Óbanvænt,Karl,Öll,963
2003,Óbanvænt,Karl,Öll,1065
2004,Óbanvænt,Karl,Öll,1428
2005,Óbanvænt,Karl,Öll,1221
2006,Óbanvænt,Karl,Öll,1328
2007,Óbanvænt,Karl,Öll,1450
2008,Óbanvænt,Karl,Öll,1368
2009,Óbanvænt,Karl,Öll,936
2010,Óbanvænt,Karl,Öll,859
2011,Óbanvænt,Karl,Öll,1017
2012,Óbanvænt,Karl,Öll,1055
2013,Óbanvænt,Karl,Öll,1191
2014,Óbanvænt,Karl,Öll,1255
2015,Óbanvænt,Karl,Öll,1320
2016,Óbanvænt,Karl,Öll,1361
2017,Óbanvænt,Karl,Öll,1393
2018,Óbanvænt,Karl,Öll,1436
2019,Óbanvænt,Karl,Öll,1378
2020,Óbanvænt,Karl,Öll,1142
2021,Óbanvænt,Karl,Öll,1174
2022,Óbanvænt,Karl,Öll,1256
1980,Óbanvænt,Kona,Öll,0
1981,Óbanvænt,Kona,Öll,0
1982,Óbanvænt,Kona,Öll,0
1983,Óbanvænt,Kona,Öll,0
1984,Óbanvænt,Kona,Öll,71
1985,Óbanvænt,Kona,Öll,75
1986,Óbanvænt,Kona,Öll,72
1987,Óbanvænt,Kona,Öll,95
1988,Óbanvænt,Kona,Öll,75
1989,Óbanvænt,Kona,Öll,111
1990,Óbanvænt,Kona,Öll,159
1991,Óbanvænt,Kona,Öll,137
1992,Óbanvænt,Kona,Öll,138
1993,Óbanvænt,Kona,Öll,161
1994,Óbanvænt,Kona,Öll,180
1995,Óbanvænt,Kona,Öll,211
1996,Óbanvænt,Kona,Öll,265
1997,Óbanvænt,Kona,Öll,285
1998,Óbanvænt,Kona,Öll,316
1999,Óbanvænt,Kona,Öll,351
2000,Óbanvænt,Kona,Öll,395
2001,Óbanvænt,Kona,Öll,387
2002,Óbanvænt,Kona,Öll,435
2003,Óbanvænt,Kona,Öll,407
2004,Óbanvænt,Kona,Öll,449
2005,Óbanvænt,Kona,Öll,409
2006,Óbanvænt,Kona,Öll,406
2007,Óbanvænt,Kona,Öll,472
2008,Óbanvænt,Kona,Öll,492
2009,Óbanvænt,Kona,Öll,428
2010,Óbanvænt,Kona,Öll,477
2011,Óbanvænt,Kona,Öll,537
2012,Óbanvænt,Kona,Öll,587
2013,Óbanvænt,Kona,Öll,611
2014,Óbanvænt,Kona,Öll,710
2015,Óbanvænt,Kona,Öll,763
2016,Óbanvænt,Kona,Öll,752
2017,Óbanvænt,Kona,Öll,742
2018,Óbanvænt,Kona,Öll,765
2019,Óbanvænt,Kona,Öll,854
2020,Óbanvænt,Kona,Öll,665
2021,Óbanvænt,Kona,Öll,700
2022,Óbanvænt,Kona,Öll,693
1980,Óbanvænt,Bæði,Öll,0
1981,Óbanvænt,Bæði,Öll,0
1982,Óbanvænt,Bæði,Öll,0
1983,Óbanvænt,Bæði,Öll,0
1984,Óbanvænt,Bæði,Öll,339
1985,Óbanvænt,Bæði,Öll,352
1986,Óbanvænt,Bæði,Öll,375
1987,Óbanvænt,Bæði,Öll,399
1988,Óbanvænt,Bæði,Öll,416
1989,Óbanvænt,Bæði,Öll,437
1990,Óbanvænt,Bæði,Öll,758
1991,Óbanvænt,Bæði,Öll,659
1992,Óbanvænt,Bæði,Öll,668
1993,Óbanvænt,Bæði,Öll,666
1994,Óbanvænt,Bæði,Öll,665
1995,Óbanvænt,Bæði,Öll,881
1996,Óbanvænt,Bæði,Öll,1081
1997,Óbanvænt,Bæði,Öll,1232
1998,Óbanvænt,Bæði,Öll,1335
1999,Óbanvænt,Bæði,Öll,1353
2000,Óbanvænt,Bæði,Öll,1440
2001,Óbanvænt,Bæði,Öll,1416
2002,Óbanvænt,Bæði,Öll,1398
2003,Óbanvænt,Bæði,Öll,1472
2004,Óbanvænt,Bæði,Öll,1877
2005,Óbanvænt,Bæði,Öll,1630
2006,Óbanvænt,Bæði,Öll,1734
2007,Óbanvænt,Bæði,Öll,1922
2008,Óbanvænt,Bæði,Öll,1860
2009,Óbanvænt,Bæði,Öll,1364
2010,Óbanvænt,Bæði,Öll,1336
2011,Óbanvænt,Bæði,Öll,1554
2012,Óbanvænt,Bæði,Öll,1642
2013,Óbanvænt,Bæði,Öll,1802
2014,Óbanvænt,Bæði,Öll,1965
2015,Óbanvænt,Bæði,Öll,2083
2016,Óbanvænt,Bæði,Öll,2113
2017,Óbanvænt,Bæði,Öll,2135
2018,Óbanvænt,Bæði,Öll,2201
2019,Óbanvænt,Bæði,Öll,2232
2020,Óbanvænt,Bæði,Öll,1807
2021,Óbanvænt,Bæði,Öll,1874
2022,Óbanvænt,Bæði,Öll,1949
1980,Alls,Bæði,Íslenskt,8
1981,Alls,Bæði,Íslenskt,8
1982,Alls,Bæði,Íslenskt,7
1983,Alls,Bæði,Íslenskt,3
1984,Alls,Bæði,Íslenskt,340
1985,Alls,Bæði,Íslenskt,350
1986,Alls,Bæði,Íslenskt,372
1987,Alls,Bæði,Íslenskt,394
1988,Alls,Bæði,Íslenskt,403
1989,Alls,Bæði,Íslenskt,432
1990,Alls,Bæði,Íslenskt,742
1991,Alls,Bæði,Íslenskt,651
1992,Alls,Bæði,Íslenskt,661
1993,Alls,Bæði,Íslenskt,664
1994,Alls,Bæði,Íslenskt,665
1995,Alls,Bæði,Íslenskt,873
1996,Alls,Bæði,Íslenskt,1066
1997,Alls,Bæði,Íslenskt,1216
1998,Alls,Bæði,Íslenskt,1316
1999,Alls,Bæði,Íslenskt,1321
2000,Alls,Bæði,Íslenskt,1393
2001,Alls,Bæði,Íslenskt,1370
2002,Alls,Bæði,Íslenskt,1353
2003,Alls,Bæði,Íslenskt,1375
2004,Alls,Bæði,Íslenskt,1373
2005,Alls,Bæði,Íslenskt,1221
2006,Alls,Bæði,Íslenskt,1231
2007,Alls,Bæði,Íslenskt,1293
2008,Alls,Bæði,Íslenskt,1451
2009,Alls,Bæði,Íslenskt,1188
2010,Alls,Bæði,Íslenskt,1185
2011,Alls,Bæði,Íslenskt,1386
2012,Alls,Bæði,Íslenskt,1456
2013,Alls,Bæði,Íslenskt,1553
2014,Alls,Bæði,Íslenskt,1689
2015,Alls,Bæði,Íslenskt,1796
2016,Alls,Bæði,Íslenskt,1749
2017,Alls,Bæði,Íslenskt,1702
2018,Alls,Bæði,Íslenskt,1654
2019,Alls,Bæði,Íslenskt,1678
2020,Alls,Bæði,Íslenskt,1408
2021,Alls,Bæði,Íslenskt,1410
2022,Alls,Bæði,Íslenskt,1366
1980,Banvænt,Bæði,Íslenskt,8
1981,Banvænt,Bæði,Íslenskt,8
1982,Banvænt,Bæði,Íslenskt,7
1983,Banvænt,Bæði,Íslenskt,3
1984,Banvænt,Bæði,Íslenskt,5
1985,Banvænt,Bæði,Íslenskt,6
1986,Banvænt,Bæði,Íslenskt,4
1987,Banvænt,Bæði,Íslenskt,4
1988,Banvænt,Bæði,Íslenskt,1
1989,Banvænt,Bæði,Íslenskt,7
1990,Banvænt,Bæði,Íslenskt,5
1991,Banvænt,Bæði,Íslenskt,9
1992,Banvænt,Bæði,Íslenskt,4
1993,Banvænt,Bæði,Íslenskt,4
1994,Banvænt,Bæði,Íslenskt,8
1995,Banvænt,Bæði,Íslenskt,3
1996,Banvænt,Bæði,Íslenskt,3
1997,Banvænt,Bæði,Íslenskt,4
1998,Banvænt,Bæði,Íslenskt,2
1999,Banvænt,Bæði,Íslenskt,7
2000,Banvænt,Bæði,Íslenskt,4
2001,Banvænt,Bæði,Íslenskt,3
2002,Banvænt,Bæði,Íslenskt,0
2003,Banvænt,Bæði,Íslenskt,4
2004,Banvænt,Bæði,Íslenskt,2
2005,Banvænt,Bæði,Íslenskt,3
2006,Banvænt,Bæði,Íslenskt,5
2007,Banvænt,Bæði,Íslenskt,2
2008,Banvænt,Bæði,Íslenskt,2
2009,Banvænt,Bæði,Íslenskt,3
2010,Banvænt,Bæði,Íslenskt,2
2011,Banvænt,Bæði,Íslenskt,3
2012,Banvænt,Bæði,Íslenskt,0
2013,Banvænt,Bæði,Íslenskt,1
2014,Banvænt,Bæði,Íslenskt,1
2015,Banvænt,Bæði,Íslenskt,2
2016,Banvænt,Bæði,Íslenskt,4
2017,Banvænt,Bæði,Íslenskt,1
2018,Banvænt,Bæði,Íslenskt,2
2019,Banvænt,Bæði,Íslenskt,1
2020,Banvænt,Bæði,Íslenskt,2
2021,Banvænt,Bæði,Íslenskt,2
2022,Banvænt,Bæði,Íslenskt,1
1980,Banvænt,Karl,Íslenskt,8
1981,Banvænt,Karl,Íslenskt,8
1982,Banvænt,Karl,Íslenskt,7
1983,Banvænt,Karl,Íslenskt,3
1984,Banvænt,Karl,Íslenskt,4
1985,Banvænt,Karl,Íslenskt,5
1986,Banvænt,Karl,Íslenskt,4
1987,Banvænt,Karl,Íslenskt,4
1988,Banvænt,Karl,Íslenskt,1
1989,Banvænt,Karl,Íslenskt,6
1990,Banvænt,Karl,Íslenskt,5
1991,Banvænt,Karl,Íslenskt,9
1992,Banvænt,Karl,Íslenskt,4
1993,Banvænt,Karl,Íslenskt,4
1994,Banvænt,Karl,Íslenskt,8
1995,Banvænt,Karl,Íslenskt,3
1996,Banvænt,Karl,Íslenskt,3
1997,Banvænt,Karl,Íslenskt,4
1998,Banvænt,Karl,Íslenskt,2
1999,Banvænt,Karl,Íslenskt,5
2000,Banvænt,Karl,Íslenskt,4
2001,Banvænt,Karl,Íslenskt,3
2002,Banvænt,Karl,Íslenskt,0
2003,Banvænt,Karl,Íslenskt,4
2004,Banvænt,Karl,Íslenskt,2
2005,Banvænt,Karl,Íslenskt,3
2006,Banvænt,Karl,Íslenskt,5
2007,Banvænt,Karl,Íslenskt,2
2008,Banvænt,Karl,Íslenskt,2
2009,Banvænt,Karl,Íslenskt,3
2010,Banvænt,Karl,Íslenskt,2
2011,Banvænt,Karl,Íslenskt,3
2012,Banvænt,Karl,Íslenskt,0
2013,Banvænt,Karl,Íslenskt,0
2014,Banvænt,Karl,Íslenskt,1
2015,Banvænt,Karl,Íslenskt,2
2016,Banvænt,Karl,Íslenskt,4
2017,Banvænt,Karl,Íslenskt,1
2018,Banvænt,Karl,Íslenskt,2
2019,Banvænt,Karl,Íslenskt,1
2020,Banvænt,Karl,Íslenskt,2
2021,Banvænt,Karl,Íslenskt,2
2022,Banvænt,Karl,Íslenskt,1
1980,Banvænt,Kona,Íslenskt,0
1981,Banvænt,Kona,Íslenskt,0
1982,Banvænt,Kona,Íslenskt,0
1983,Banvænt,Kona,Íslenskt,0
1984,Banvænt,Kona,Íslenskt,1
1985,Banvænt,Kona,Íslenskt,1
1986,Banvænt,Kona,Íslenskt,0
1987,Banvænt,Kona,Íslenskt,0
1988,Banvænt,Kona,Íslenskt,0
1989,Banvænt,Kona,Íslenskt,1
1990,Banvænt,Kona,Íslenskt,0
1991,Banvænt,Kona,Íslenskt,0
1992,Banvænt,Kona,Íslenskt,0
1993,Banvænt,Kona,Íslenskt,0
1994,Banvænt,Kona,Íslenskt,0
1995,Banvænt,Kona,Íslenskt,0
1996,Banvænt,Kona,Íslenskt,0
1997,Banvænt,Kona,Íslenskt,0
1998,Banvænt,Kona,Íslenskt,0
1999,Banvænt,Kona,Íslenskt,2
2000,Banvænt,Kona,Íslenskt,0
2001,Banvænt,Kona,Íslenskt,0
2002,Banvænt,Kona,Íslenskt,0
2003,Banvænt,Kona,Íslenskt,0
2004,Banvænt,Kona,Íslenskt,0
2005,Banvænt,Kona,Íslenskt,0
2006,Banvænt,Kona,Íslenskt,0
2007,Banvænt,Kona,Íslenskt,0
2008,Banvænt,Kona,Íslenskt,0
2009,Banvænt,Kona,Íslenskt,0
2010,Banvænt,Kona,Íslenskt,0
2011,Banvænt,Kona,Íslenskt,0
2012,Banvænt,Kona,Íslenskt,0
2013,Banvænt,Kona,Íslenskt,1
2014,Banvænt,Kona,Íslenskt,0
2015,Banvænt,Kona,Íslenskt,0
2016,Banvænt,Kona,Íslenskt,0
2017,Banvænt,Kona,Íslenskt,0
2018,Banvænt,Kona,Íslenskt,0
2019,Banvænt,Kona,Íslenskt,0
2020,Banvænt,Kona,Íslenskt,0
2021,Banvænt,Kona,Íslenskt,0
2022,Banvænt,Kona,Íslenskt,0
1980,Óbanvænt,Karl,Íslenskt,0
1981,Óbanvænt,Karl,Íslenskt,0
1982,Óbanvænt,Karl,Íslenskt,0
1983,Óbanvænt,Karl,Íslenskt,0
1984,Óbanvænt,Karl,Íslenskt,264
1985,Óbanvænt,Karl,Íslenskt,272
1986,Óbanvænt,Karl,Íslenskt,298
1987,Óbanvænt,Karl,Íslenskt,298
1988,Óbanvænt,Karl,Íslenskt,331
1989,Óbanvænt,Karl,Íslenskt,318
1990,Óbanvænt,Karl,Íslenskt,584
1991,Óbanvænt,Karl,Íslenskt,510
1992,Óbanvænt,Karl,Íslenskt,520
1993,Óbanvænt,Karl,Íslenskt,501
1994,Óbanvænt,Karl,Íslenskt,479
1995,Óbanvænt,Karl,Íslenskt,663
1996,Óbanvænt,Karl,Íslenskt,804
1997,Óbanvænt,Karl,Íslenskt,937
1998,Óbanvænt,Karl,Íslenskt,1006
1999,Óbanvænt,Karl,Íslenskt,978
2000,Óbanvænt,Karl,Íslenskt,998
2001,Óbanvænt,Karl,Íslenskt,996
2002,Óbanvænt,Karl,Íslenskt,934
2003,Óbanvænt,Karl,Íslenskt,982
2004,Óbanvænt,Karl,Íslenskt,949
2005,Óbanvænt,Karl,Íslenskt,843
2006,Óbanvænt,Karl,Íslenskt,862
2007,Óbanvænt,Karl,Íslenskt,891
2008,Óbanvænt,Karl,Íslenskt,1032
2009,Óbanvænt,Karl,Íslenskt,810
2010,Óbanvænt,Karl,Íslenskt,762
2011,Óbanvænt,Karl,Íslenskt,903
2012,Óbanvænt,Karl,Íslenskt,928
2013,Óbanvænt,Karl,Íslenskt,1008
2014,Óbanvænt,Karl,Íslenskt,1071
2015,Óbanvænt,Karl,Íslenskt,1140
2016,Óbanvænt,Karl,Íslenskt,1107
2017,Óbanvænt,Karl,Íslenskt,1075
2018,Óbanvænt,Karl,Íslenskt,1054
2019,Óbanvænt,Karl,Íslenskt,1002
2020,Óbanvænt,Karl,Íslenskt,856
2021,Óbanvænt,Karl,Íslenskt,861
2022,Óbanvænt,Karl,Íslenskt,856
1980,Óbanvænt,Kona,Íslenskt,0
1981,Óbanvænt,Kona,Íslenskt,0
1982,Óbanvænt,Kona,Íslenskt,0
1983,Óbanvænt,Kona,Íslenskt,0
1984,Óbanvænt,Kona,Íslenskt,71
1985,Óbanvænt,Kona,Íslenskt,72
1986,Óbanvænt,Kona,Íslenskt,70
1987,Óbanvænt,Kona,Íslenskt,92
1988,Óbanvænt,Kona,Íslenskt,71
1989,Óbanvænt,Kona,Íslenskt,107
1990,Óbanvænt,Kona,Íslenskt,153
1991,Óbanvænt,Kona,Íslenskt,132
1992,Óbanvænt,Kona,Íslenskt,137
1993,Óbanvænt,Kona,Íslenskt,159
1994,Óbanvænt,Kona,Íslenskt,178
1995,Óbanvænt,Kona,Íslenskt,207
1996,Óbanvænt,Kona,Íslenskt,259
1997,Óbanvænt,Kona,Íslenskt,275
1998,Óbanvænt,Kona,Íslenskt,308
1999,Óbanvænt,Kona,Íslenskt,336
2000,Óbanvænt,Kona,Íslenskt,391
2001,Óbanvænt,Kona,Íslenskt,371
2002,Óbanvænt,Kona,Íslenskt,419
2003,Óbanvænt,Kona,Íslenskt,389
2004,Óbanvænt,Kona,Íslenskt,422
2005,Óbanvænt,Kona,Íslenskt,375
2006,Óbanvænt,Kona,Íslenskt,364
2007,Óbanvænt,Kona,Íslenskt,400
2008,Óbanvænt,Kona,Íslenskt,417
2009,Óbanvænt,Kona,Íslenskt,375
2010,Óbanvænt,Kona,Íslenskt,421
2011,Óbanvænt,Kona,Íslenskt,480
2012,Óbanvænt,Kona,Íslenskt,528
2013,Óbanvænt,Kona,Íslenskt,544
2014,Óbanvænt,Kona,Íslenskt,617
2015,Óbanvænt,Kona,Íslenskt,654
2016,Óbanvænt,Kona,Íslenskt,638
2017,Óbanvænt,Kona,Íslenskt,626
2018,Óbanvænt,Kona,Íslenskt,598
2019,Óbanvænt,Kona,Íslenskt,675
2020,Óbanvænt,Kona,Íslenskt,550
2021,Óbanvænt,Kona,Íslenskt,546
2022,Óbanvænt,Kona,Íslenskt,509
1980,Óbanvænt,Bæði,Íslenskt,0
1981,Óbanvænt,Bæði,Íslenskt,0
1982,Óbanvænt,Bæði,Íslenskt,0
1983,Óbanvænt,Bæði,Íslenskt,0
1984,Óbanvænt,Bæði,Íslenskt,335
1985,Óbanvænt,Bæði,Íslenskt,344
1986,Óbanvænt,Bæði,Íslenskt,368
1987,Óbanvænt,Bæði,Íslenskt,390
1988,Óbanvænt,Bæði,Íslenskt,402
1989,Óbanvænt,Bæði,Íslenskt,425
1990,Óbanvænt,Bæði,Íslenskt,737
1991,Óbanvænt,Bæði,Íslenskt,642
1992,Óbanvænt,Bæði,Íslenskt,657
1993,Óbanvænt,Bæði,Íslenskt,660
1994,Óbanvænt,Bæði,Íslenskt,657
1995,Óbanvænt,Bæði,Íslenskt,870
1996,Óbanvænt,Bæði,Íslenskt,1063
1997,Óbanvænt,Bæði,Íslenskt,1212
1998,Óbanvænt,Bæði,Íslenskt,1314
1999,Óbanvænt,Bæði,Íslenskt,1314
2000,Óbanvænt,Bæði,Íslenskt,1389
2001,Óbanvænt,Bæði,Íslenskt,1367
2002,Óbanvænt,Bæði,Íslenskt,1353
2003,Óbanvænt,Bæði,Íslenskt,1371
2004,Óbanvænt,Bæði,Íslenskt,1371
2005,Óbanvænt,Bæði,Íslenskt,1218
2006,Óbanvænt,Bæði,Íslenskt,1226
2007,Óbanvænt,Bæði,Íslenskt,1291
2008,Óbanvænt,Bæði,Íslenskt,1449
2009,Óbanvænt,Bæði,Íslenskt,1185
2010,Óbanvænt,Bæði,Íslenskt,1183
2011,Óbanvænt,Bæði,Íslenskt,1383
2012,Óbanvænt,Bæði,Íslenskt,1456
2013,Óbanvænt,Bæði,Íslenskt,1552
2014,Óbanvænt,Bæði,Íslenskt,1688
2015,Óbanvænt,Bæði,Íslenskt,1794
2016,Óbanvænt,Bæði,Íslenskt,1745
2017,Óbanvænt,Bæði,Íslenskt,1701
2018,Óbanvænt,Bæði,Íslenskt,1652
2019,Óbanvænt,Bæði,Íslenskt,1677
2020,Óbanvænt,Bæði,Íslenskt,1406
2021,Óbanvænt,Bæði,Íslenskt,1408
2022,Óbanvænt,Bæði,Íslenskt,1365
1980,Alls,Bæði,Erlent,0
1981,Alls,Bæði,Erlent,0
1982,Alls,Bæði,Erlent,0
1983,Alls,Bæði,Erlent,0
1984,Alls,Bæði,Erlent,4
1985,Alls,Bæði,Erlent,8
1986,Alls,Bæði,Erlent,8
1987,Alls,Bæði,Erlent,9
1988,Alls,Bæði,Erlent,14
1989,Alls,Bæði,Erlent,12
1990,Alls,Bæði,Erlent,21
1991,Alls,Bæði,Erlent,17
1992,Alls,Bæði,Erlent,11
1993,Alls,Bæði,Erlent,6
1994,Alls,Bæði,Erlent,8
1995,Alls,Bæði,Erlent,11
1996,Alls,Bæði,Erlent,18
1997,Alls,Bæði,Erlent,20
1998,Alls,Bæði,Erlent,21
1999,Alls,Bæði,Erlent,39
2000,Alls,Bæði,Erlent,51
2001,Alls,Bæði,Erlent,49
2002,Alls,Bæði,Erlent,45
2003,Alls,Bæði,Erlent,101
2004,Alls,Bæði,Erlent,506
2005,Alls,Bæði,Erlent,412
2006,Alls,Bæði,Erlent,509
2007,Alls,Bæði,Erlent,633
2008,Alls,Bæði,Erlent,414
2009,Alls,Bæði,Erlent,179
2010,Alls,Bæði,Erlent,154
2011,Alls,Bæði,Erlent,171
2012,Alls,Bæði,Erlent,186
2013,Alls,Bæði,Erlent,250
2014,Alls,Bæði,Erlent,278
2015,Alls,Bæði,Erlent,289
2016,Alls,Bæði,Erlent,368
2017,Alls,Bæði,Erlent,435
2018,Alls,Bæði,Erlent,550
2019,Alls,Bæði,Erlent,556
2020,Alls,Bæði,Erlent,402
2021,Alls,Bæði,Erlent,467
2022,Alls,Bæði,Erlent,585
1980,Banvænt,Bæði,Erlent,0
