Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
2015,Banvænt,Karl,Öll,2.0
2016,Banvænt,Karl,Öll,4.0
2017,Banvænt,Karl,Öll,2.0
2018,Banvænt,Karl,Öll,3.0
2019,Banvænt,Karl,Öll,2.0
2020,Banvænt,Karl,Öll,3.0
2021,Banvænt,Karl,Öll,3.0
2022,Banvænt,Karl,Öll,1.0
1980,Banvænt,Kona,Öll,0.0
1981,Banvænt,Kona,Öll,0.0
1982,Banvænt,Kona,Öll,0.0
1983,Banvænt,Kona,Öll,0.0
1984,Banvænt,Kona,Öll,1.0
1985,Banvænt,Kona,Öll,1.0
1986,Banvænt,Kona,Öll,0.0
1987,Banvænt,Kona,Öll,0.0
1988,Banvænt,Kona,Öll,0.0
1989,Banvænt,Kona,Öll,1.0
1990,Banvænt,Kona,Öll,0.0
1991,Banvænt,Kona,Öll,0.0
1992,Banvænt,Kona,Öll,0.0
1993,Banvænt,Kona,Öll,0.0
1994,Banvænt,Kona,Öll,0.0
1995,Banvænt,Kona,Öll,0.0
1996,Banvænt,Kona,Öll,0.0
1997,Banvænt,Kona,Öll,0.0
1998,Banvænt,Kona,Öll,0.0
1999,Banvænt,Kona,Öll,2.0
2000,Banvænt,Kona,Öll,0.0
2001,Banvænt,Kona,Öll,0.0
2002,Banvænt,Kona,Öll,0.0
2003,Banvænt,Kona,Öll,0.0
2004,Banvænt,Kona,Öll,0.0
2005,Banvænt,Kona,Öll,0.0
2006,Banvænt,Kona,Öll,0.0
2007,Banvænt,Kona,Öll,0.0
2008,Banvænt,Kona,Öll,0.0
2009,Banvænt,Kona,Öll,0.0
2010,Banvænt,Kona,Öll,0.0
2011,Banvænt,Kona,Öll,0.0
2012,Banvænt,Kona,Öll,0.0
2013,Banvænt,Kona,Öll,1.0
2014,Banvænt,Kona,Öll,1.0
2015,Banvænt,Kona,Öll,0.0
2016,Banvænt,Kona,Öll,0.0
2017,Banvænt,Kona,Öll,0.0
2018,Banvænt,Kona,Öll,0.0
2019,Banvænt,Kona,Öll,0.0
2020,Banvænt,Kona,Öll,0.0
2021,Banvænt,Kona,Öll,0.0
2022,Banvænt,Kona,Öll,0.0
1980,Óbanvænt,Karl,Öll,0.0
1981,Óbanvænt,Karl,Öll,0.0
1982,Óbanvænt,Karl,Öll,0.0
1983,Óbanvænt,Karl,Öll,0.0
1984,Óbanvænt,Karl,Öll,268.0
1985,Óbanvænt,Karl,Öll,277.0
1986,Óbanvænt,Karl,Öll,303.0
1987,Óbanvænt,Karl,Öll,304.0
1988,Óbanvænt,Karl,Öll,341.0
1989,Óbanvænt,Karl,Öll,326.0
1990,Óbanvænt,Karl,Öll,599.0
1991,Óbanvænt,Karl,Öll,522.0
1992,Óbanvænt,Karl,Öll,530.0
1993,Óbanvænt,Karl,Öll,505.0
1994,Óbanvænt,Karl,Öll,485.0
1995,Óbanvænt,Karl,Öll,670.0
1996,Óbanvænt,Karl,Öll,816.0
1997,Óbanvænt,Karl,Öll,947.0
1998,Óbanvænt,Karl,Öll,1019.0
1999,Óbanvænt,Karl,Öll,1002.0
2000,Óbanvænt,Karl,Öll,1045.0
2001,Óbanvænt,Karl,Öll,1029.0
2002,Óbanvænt,Karl,Öll,963.0
2003,Óbanvænt,Karl,Öll,1065.0
2004,Óbanvænt,Karl,Öll,1428.0
2005,Óbanvænt,Karl,Öll,1221.0
2006,Óbanvænt,Karl,Öll,1328.0
2007,Óbanvænt,Karl,Öll,1450.0
2008,Óbanvænt,Karl,Öll,1368.0
2009,Óbanvænt,Karl,Öll,936.0
2010,Óbanvænt,Karl,Öll,859.0
2011,Óbanvænt,Karl,Öll,1017.0
2012,Óbanvænt,Karl,Öll,1055.0
2013,Óbanvænt,Karl,Öll,1191.0
2014,Óbanvænt,Karl,Öll,1255.0
2015,Óbanvænt,Karl,Öll,1320.0
2016,Óbanvænt,Karl,Öll,1361.0
2017,Óbanvænt,Karl,Öll,1393.0
2018,Óbanvænt,Karl,Öll,1436.0
2019,Óbanvænt,Karl,Öll,1378.0
2020,Óbanvænt,Karl,Öll,1142.0
2021,Óbanvænt,Karl,Öll,1174.0
2022,Óbanvænt,Karl,Öll,1256.0
1980,Óbanvænt,Kona,Öll,0.0
1981,Óbanvænt,Kona,Öll,0.0
1982,Óbanvænt,Kona,Öll,0.0
1983,Óbanvænt,Kona,Öll,0.0
1984,Óbanvænt,Kona,Öll,71.0
1985,Óbanvænt,Kona,Öll,75.0
1986,Óbanvænt,Kona,Öll,72.0
1987,Óbanvænt,Kona,Öll,95.0
1988,Óbanvænt,Kona,Öll,75.0
1989,Óbanvænt,Kona,Öll,111.0
1990,Óbanvænt,Kona,Öll,159.0
1991,Óbanvænt,Kona,Öll,137.0
1992,Óbanvænt,Kona,Öll,138.0
1993,Óbanvænt,Kona,Öll,161.0
1994,Óbanvænt,Kona,Öll,180.0
1995,Óbanvænt,Kona,Öll,211.0
1996,Óbanvænt,Kona,Öll,265.0
1997,Óbanvænt,Kona,Öll,285.0
1998,Óbanvænt,Kona,Öll,316.0
1999,Óbanvænt,Kona,Öll,351.0
2000,Óbanvænt,Kona,Öll,395.0
2001,Óbanvænt,Kona,Öll,387.0
2002,Óbanvænt,Kona,Öll,435.0
2003,Óbanvænt,Kona,Öll,407.0
2004,Óbanvænt,Kona,Öll,449.0
2005,Óbanvænt,Kona,Öll,409.0
2006,Óbanvænt,Kona,Öll,406.0
2007,Óbanvænt,Kona,Öll,472.0
2008,Óbanvænt,Kona,Öll,492.0
2009,Óbanvænt,Kona,Öll,428.0
2010,Óbanvænt,Kona,Öll,477.0
2011,Óbanvænt,Kona,Öll,537.0
2012,Óbanvænt,Kona,Öll,587.0
2013,Óbanvænt,Kona,Öll,611.0
2014,Óbanvænt,Kona,Öll,710.0
2015,Óbanvænt,Kona,Öll,763.0
2016,Óbanvænt,Kona,Öll,752.0
2017,Óbanvænt,Kona,Öll,742.0
2018,Óbanvænt,Kona,Öll,765.0
2019,Óbanvænt,Kona,Öll,854.0
2020,Óbanvænt,Kona,Öll,665.0
2021,Óbanvænt,Kona,Öll,700.0
2022,Óbanvænt,Kona,Öll,693.0
1980,Óbanvænt,Bæði,Öll,0.0
1981,Óbanvænt,Bæði,Öll,0.0
1982,Óbanvænt,Bæði,Öll,0.0
1983,Óbanvænt,Bæði,Öll,0.0
1984,Óbanvænt,Bæði,Öll,339.0
1985,Óbanvænt,Bæði,Öll,352.0
1986,Óbanvænt,Bæði,Öll,375.0
1987,Óbanvænt,Bæði,Öll,399.0
1988,Óbanvænt,Bæði,Öll,416.0
1989,Óbanvænt,Bæði,Öll,437.0
1990,Óbanvænt,Bæði,Öll,758.0
1991,Óbanvænt,Bæði,Öll,659.0
1992,Óbanvænt,Bæði,Öll,668.0
1993,Óbanvænt,Bæði,Öll,666.0
1994,Óbanvænt,Bæði,Öll,665.0
1995,Óbanvænt,Bæði,Öll,881.0
1996,Óbanvænt,Bæði,Öll,1081.0
1997,Óbanvænt,Bæði,Öll,1232.0
1998,Óbanvænt,Bæði,Öll,1335.0
1999,Óbanvænt,Bæði,Öll,1353.0
2000,Óbanvænt,Bæði,Öll,1440.0
2001,Óbanvænt,Bæði,Öll,1416.0
2002,Óbanvænt,Bæði,Öll,1398.0
2003,Óbanvænt,Bæði,Öll,1472.0
2004,Óbanvænt,Bæði,Öll,1877.0
2005,Óbanvænt,Bæði,Öll,1630.0
2006,Óbanvænt,Bæði,Öll,1734.0
2007,Óbanvænt,Bæði,Öll,1922.0
2008,Óbanvænt,Bæði,Öll,1860.0
2009,Óbanvænt,Bæði,Öll,1364.0
2010,Óbanvænt,Bæði,Öll,1336.0
2011,Óbanvænt,Bæði,Öll,1554.0
2012,Óbanvænt,Bæði,Öll,1642.0
2013,Óbanvænt,Bæði,Öll,1802.0
2014,Óbanvænt,Bæði,Öll,1965.0
2015,Óbanvænt,Bæði,Öll,2083.0
2016,Óbanvænt,Bæði,Öll,2113.0
2017,Óbanvænt,Bæði,Öll,2135.0
2018,Óbanvænt,Bæði,Öll,2201.0
2019,Óbanvænt,Bæði,Öll,2232.0
2020,Óbanvænt,Bæði,Öll,1807.0
2021,Óbanvænt,Bæði,Öll,1874.0
2022,Óbanvænt,Bæði,Öll,1949.0
1980,Alls,Bæði,Íslenskt,8.0
1981,Alls,Bæði,Íslenskt,8.0
1982,Alls,Bæði,Íslenskt,7.0
1983,Alls,Bæði,Íslenskt,3.0
1984,Alls,Bæði,Íslenskt,340.0
1985,Alls,Bæði,Íslenskt,350.0
1986,Alls,Bæði,Íslenskt,372.0
1987,Alls,Bæði,Íslenskt,394.0
1988,Alls,Bæði,Íslenskt,403.0
1989,Alls,Bæði,Íslenskt,432.0
1990,Alls,Bæði,Íslenskt,742.0
1991,Alls,Bæði,Íslenskt,651.0
1992,Alls,Bæði,Íslenskt,661.0
1993,Alls,Bæði,Íslenskt,664.0
1994,Alls,Bæði,Íslenskt,665.0
1995,Alls,Bæði,Íslenskt,873.0
1996,Alls,Bæði,Íslenskt,1066.0
1997,Alls,Bæði,Íslenskt,1216.0
1998,Alls,Bæði,Íslenskt,1316.0
1999,Alls,Bæði,Íslenskt,1321.0
2000,Alls,Bæði,Íslenskt,1393.0
2001,Alls,Bæði,Íslenskt,1370.0
2002,Alls,Bæði,Íslenskt,1353.0
2003,Alls,Bæði,Íslenskt,1375.0
2004,Alls,Bæði,Íslenskt,1373.0
2005,Alls,Bæði,Íslenskt,1221.0
2006,Alls,Bæði,Íslenskt,1231.0
2007,Alls,Bæði,Íslenskt,1293.0
2008,Alls,Bæði,Íslenskt,1451.0
2009,Alls,Bæði,Íslenskt,1188.0
2010,Alls,Bæði,Íslenskt,1185.0
2011,Alls,Bæði,Íslenskt,1386.0
2012,Alls,Bæði,Íslenskt,1456.0
2013,Alls,Bæði,Íslenskt,1553.0
2014,Alls,Bæði,Íslenskt,1689.0
2015,Alls,Bæði,Íslenskt,1796.0
2016,Alls,Bæði,Íslenskt,1749.0
2017,Alls,Bæði,Íslenskt,1702.0
2018,Alls,Bæði,Íslenskt,1654.0
2019,Alls,Bæði,Íslenskt,1678.0
2020,Alls,Bæði,Íslenskt,1408.0
2021,Alls,Bæði,Íslenskt,1410.0
2022,Alls,Bæði,Íslenskt,1366.0
1980,Banvænt,Bæði,Íslenskt,8.0
1981,Banvænt,Bæði,Íslenskt,8.0
1982,Banvænt,Bæði,Íslenskt,7.0
1983,Banvænt,Bæði,Íslenskt,3.0
1984,Banvænt,Bæði,Íslenskt,5.0
1985,Banvænt,Bæði,Íslenskt,6.0
1986,Banvænt,Bæði,Íslenskt,4.0
1987,Banvænt,Bæði,Íslenskt,4.0
1988,Banvænt,Bæði,Íslenskt,1.0
1989,Banvænt,Bæði,Íslenskt,7.0
1990,Banvænt,Bæði,Íslenskt,5.0
1991,Banvænt,Bæði,Íslenskt,9.0
1992,Banvænt,Bæði,Íslenskt,4.0
1993,Banvænt,Bæði,Íslenskt,4.0
1994,Banvænt,Bæði,Íslenskt,8.0
1995,Banvænt,Bæði,Íslenskt,3.0
1996,Banvænt,Bæði,Íslenskt,3.0
1997,Banvænt,Bæði,Íslenskt,4.0
1998,Banvænt,Bæði,Íslenskt,2.0
1999,Banvænt,Bæði,Íslenskt,7.0
2000,Banvænt,Bæði,Íslenskt,4.0
2001,Banvænt,Bæði,Íslenskt,3.0
2002,Banvænt,Bæði,Íslenskt,0.0
2003,Banvænt,Bæði,Íslenskt,4.0
2004,Banvænt,Bæði,Íslenskt,2.0
2005,Banvænt,Bæði,Íslenskt,3.0
2006,Banvænt,Bæði,Íslenskt,5.0
2007,Banvænt,Bæði,Íslenskt,2.0
2008,Banvænt,Bæði,Íslenskt,2.0
2009,Banvænt,Bæði,Íslenskt,3.0
2010,Banvænt,Bæði,Íslenskt,2.0
2011,Banvænt,Bæði,Íslenskt,3.0
2012,Banvænt,Bæði,Íslenskt,0.0
2013,Banvænt,Bæði,Íslenskt,1.0
2014,Banvænt,Bæði,Íslenskt,1.0
2015,Banvænt,Bæði,Íslenskt,2.0
2016,Banvænt,Bæði,Íslenskt,4.0
2017,Banvænt,Bæði,Íslenskt,1.0
2018,Banvænt,Bæði,Íslenskt,2.0
2019,Banvænt,Bæði,Íslenskt,1.0
2020,Banvænt,Bæði,Íslenskt,2.0
2021,Banvænt,Bæði,Íslenskt,2.0
2022,Banvænt,Bæði,Íslenskt,1.0
1980,Banvænt,Karl,Íslenskt,8.0
1981,Banvænt,Karl,Íslenskt,8.0
1982,Banvænt,Karl,Íslenskt,7.0
1983,Banvænt,Karl,Íslenskt,3.0
1984,Banvænt,Karl,Íslenskt,4.0
1985,Banvænt,Karl,Íslenskt,5.0
1986,Banvænt,Karl,Íslenskt,4.0
1987,Banvænt,Karl,Íslenskt,4.0
1988,Banvænt,Karl,Íslenskt,1.0
1989,Banvænt,Karl,Íslenskt,6.0
1990,Banvænt,Karl,Íslenskt,5.0
1991,Banvænt,Karl,Íslenskt,9.0
1992,Banvænt,Karl,Íslenskt,4.0
1993,Banvænt,Karl,Íslenskt,4.0
1994,Banvænt,Karl,Íslenskt,8.0
1995,Banvænt,Karl,Íslenskt,3.0
1996,Banvænt,Karl,Íslenskt,3.0
1997,Banvænt,Karl,Íslenskt,4.0
1998,Banvænt,Karl,Íslenskt,2.0
1999,Banvænt,Karl,Íslenskt,5.0
2000,Banvænt,Karl,Íslenskt,4.0
2001,Banvænt,Karl,Íslenskt,3.0
2002,Banvænt,Karl,Íslenskt,0.0
2003,Banvænt,Karl,Íslenskt,4.0
2004,Banvænt,Karl,Íslenskt,2.0
2005,Banvænt,Karl,Íslenskt,3.0
2006,Banvænt,Karl,Íslenskt,5.0
2007,Banvænt,Karl,Íslenskt,2.0
2008,Banvænt,Karl,Íslenskt,2.0
2009,Banvænt,Karl,Íslenskt,3.0
2010,Banvænt,Karl,Íslenskt,2.0
2011,Banvænt,Karl,Íslenskt,3.0
2012,Banvænt,Karl,Íslenskt,0.0
2013,Banvænt,Karl,Íslenskt,0.0
2014,Banvænt,Karl,Íslenskt,1.0
2015,Banvænt,Karl,Íslenskt,2.0
2016,Banvænt,Karl,Íslenskt,4.0
2017,Banvænt,Karl,Íslenskt,1.0
2018,Banvænt,Karl,Íslenskt,2.0
2019,Banvænt,Karl,Íslenskt,1.0
2020,Banvænt,Karl,Íslenskt,2.0
2021,Banvænt,Karl,Íslenskt,2.0
2022,Banvænt,Karl,Íslenskt,1.0
1980,Banvænt,Kona,Íslenskt,0.0
1981,Banvænt,Kona,Íslenskt,0.0
1982,Banvænt,Kona,Íslenskt,0.0
1983,Banvænt,Kona,Íslenskt,0.0
1984,Banvænt,Kona,Íslenskt,1.0
1985,Banvænt,Kona,Íslenskt,1.0
1986,Banvænt,Kona,Íslenskt,0.0
1987,Banvænt,Kona,Íslenskt,0.0
1988,Banvænt,Kona,Íslenskt,0.0
1989,Banvænt,Kona,Íslenskt,1.0
1990,Banvænt,Kona,Íslenskt,0.0
1991,Banvænt,Kona,Íslenskt,0.0
1992,Banvænt,Kona,Íslenskt,0.0
1993,Banvænt,Kona,Íslenskt,0.0
1994,Banvænt,Kona,Íslenskt,0.0
1995,Banvænt,Kona,Íslenskt,0.0
1996,Banvænt,Kona,Íslenskt,0.0
1997,Banvænt,Kona,Íslenskt,0.0
1998,Banvænt,Kona,Íslenskt,0.0
1999,Banvænt,Kona,Íslenskt,2.0
2000,Banvænt,Kona,Íslenskt,0.0
2001,Banvænt,Kona,Íslenskt,0.0
2002,Banvænt,Kona,Íslenskt,0.0
2003,Banvænt,Kona,Íslenskt,0.0
2004,Banvænt,Kona,Íslenskt,0.0
2005,Banvænt,Kona,Íslenskt,0.0
2006,Banvænt,Kona,Íslenskt,0.0
2007,Banvænt,Kona,Íslenskt,0.0
2008,Banvænt,Kona,Íslenskt,0.0
2009,Banvænt,Kona,Íslenskt,0.0
2010,Banvænt,Kona,Íslenskt,0.0
2011,Banvænt,Kona,Íslenskt,0.0
2012,Banvænt,Kona,Íslenskt,0.0
2013,Banvænt,Kona,Íslenskt,1.0
2014,Banvænt,Kona,Íslenskt,0.0
2015,Banvænt,Kona,Íslenskt,0.0
2016,Banvænt,Kona,Íslenskt,0.0
2017,Banvænt,Kona,Íslenskt,0.0
2018,Banvænt,Kona,Íslenskt,0.0
2019,Banvænt,Kona,Íslenskt,0.0
2020,Banvænt,Kona,Íslenskt,0.0
2021,Banvænt,Kona,Íslenskt,0.0
2022,Banvænt,Kona,Íslenskt,0.0
1980,Óbanvænt,Karl,Íslenskt,
1981,Óbanvænt,Karl,Íslenskt,
1982,Óbanvænt,Karl,Íslenskt,
1983,Óbanvænt,Karl,Íslenskt,
1984,Óbanvænt,Karl,Íslenskt,
1985,Óbanvænt,Karl,Íslenskt,
1986,Óbanvænt,Karl,Íslenskt,
1987,Óbanvænt,Karl,Íslenskt,
1988,Óbanvænt,Karl,Íslenskt,
1989,Óbanvænt,Karl,Íslenskt,
1990,Óbanvænt,Karl,Íslenskt,
1991,Óbanvænt,Karl,Íslenskt,
1992,Óbanvænt,Karl,Íslenskt,
1993,Óbanvænt,Karl,Íslenskt,
1994,Óbanvænt,Karl,Íslenskt,
1995,Óbanvænt,Karl,Íslenskt,
1996,Óbanvænt,Karl,Íslenskt,
1997,Óbanvænt,Karl,Íslenskt,
1998,Óbanvænt,Karl,Íslenskt,
1999,Óbanvænt,Karl,Íslenskt,
2000,Óbanvænt,Karl,Íslenskt,
2001,Óbanvænt,Karl,Íslenskt,
2002,Óbanvænt,Karl,Íslenskt,
2003,Óbanvænt,Karl,Íslenskt,
2004,Óbanvænt,Karl,Íslenskt,
2005,Óbanvænt,Karl,Íslenskt,
2006,Óbanvænt,Karl,Íslenskt,
2007,Óbanvænt,Karl,Íslenskt,
2008,Óbanvænt,Karl,Íslenskt,
2009,Óbanvænt,Karl,Íslenskt,
2010,Óbanvænt,Karl,Íslenskt,
2011,Óbanvænt,Karl,Íslenskt,
2012,Óbanvænt,Karl,Íslenskt,
2013,Óbanvænt,Karl,Íslenskt,
2014,Óbanvænt,Karl,Íslenskt,
2015,Óbanvænt,Karl,Íslenskt,
2016,Óbanvænt,Karl,Íslenskt,
2017,Óbanvænt,Karl,Íslenskt,
2018,Óbanvænt,Karl,Íslenskt,
2019,Óbanvænt,Karl,Íslenskt,
2020,Óbanvænt,Karl,Íslenskt,
2021,Óbanvænt,Karl,Íslenskt,
2022,Óbanvænt,Karl,Íslenskt,
1980,Óbanvænt,Kona,Íslenskt,
1981,Óbanvænt,Kona,Íslenskt,
1982,Óbanvænt,Kona,Íslenskt,
1983,Óbanvænt,Kona,Íslenskt,
1984,Óbanvænt,Kona,Íslenskt,
1985,Óbanvænt,Kona,Íslenskt,
1986,Óbanvænt,Kona,Íslenskt,
1987,Óbanvænt,Kona,Íslenskt,
1988,Óbanvænt,Kona,Íslenskt,
1989,Óbanvænt,Kona,Íslenskt,
1990,Óbanvænt,Kona,Íslenskt,
1991,Óbanvænt,Kona,Íslenskt,
1992,Óbanvænt,Kona,Íslenskt,
1993,Óbanvænt,Kona,Íslenskt,
1994,Óbanvænt,Kona,Íslenskt,
1995,Óbanvænt,Kona,Íslenskt,
1996,Óbanvænt,Kona,Íslenskt,
1997,Óbanvænt,Kona,Íslenskt,
1998,Óbanvænt,Kona,Íslenskt,
1999,Óbanvænt,Kona,Íslenskt,
2000,Óbanvænt,Kona,Íslenskt,
2001,Óbanvænt,Kona,Íslenskt,
2002,Óbanvænt,Kona,Íslenskt,
2003,Óbanvænt,Kona,Íslenskt,
2004,Óbanvænt,Kona,Íslenskt,
2005,Óbanvænt,Kona,Íslenskt,
2006,Óbanvænt,Kona,Íslenskt,
2007,Óbanvænt,Kona,Íslenskt,
2008,Óbanvænt,Kona,Íslenskt,
2009,Óbanvænt,Kona,Íslenskt,
2010,Óbanvænt,Kona,Íslenskt,
2011,Óbanvænt,Kona,Íslenskt,
2012,Óbanvænt,Kona,Íslenskt,
2013,Óbanvænt,Kona,Íslenskt,
2014,Óbanvænt,Kona,Íslenskt,
2015,Óbanvænt,Kona,Íslenskt,
2016,Óbanvænt,Kona,Íslenskt,
2017,Óbanvænt,Kona,Íslenskt,
2018,Óbanvænt,Kona,Íslenskt,
2019,Óbanvænt,Kona,Íslenskt,
2020,Óbanvænt,Kona,Íslenskt,
2021,Óbanvænt,Kona,Íslenskt,
2022,Óbanvænt,Kona,Íslenskt,
1980,Óbanvænt,Bæði,Íslenskt,0.0
1981,Óbanvænt,Bæði,Íslenskt,0.0
1982,Óbanvænt,Bæði,Íslenskt,0.0
1983,Óbanvænt,Bæði,Íslenskt,0.0
1984,Óbanvænt,Bæði,Íslenskt,335.0
1985,Óbanvænt,Bæði,Íslenskt,344.0
1986,Óbanvænt,Bæði,Íslenskt,368.0
1987,Óbanvænt,Bæði,Íslenskt,390.0
1988,Óbanvænt,Bæði,Íslenskt,402.0
1989,Óbanvænt,Bæði,Íslenskt,425.0
1990,Óbanvænt,Bæði,Íslenskt,737.0
1991,Óbanvænt,Bæði,Íslenskt,642.0
1992,Óbanvænt,Bæði,Íslenskt,657.0
1993,Óbanvænt,Bæði,Íslenskt,660.0
1994,Óbanvænt,Bæði,Íslenskt,657.0
1995,Óbanvænt,Bæði,Íslenskt,870.0
1996,Óbanvænt,Bæði,Íslenskt,1063.0
1997,Óbanvænt,Bæði,Íslenskt,1212.0
1998,Óbanvænt,Bæði,Íslenskt,1314.0
1999,Óbanvænt,Bæði,Íslenskt,1314.0
2000,Óbanvænt,Bæði,Íslenskt,1389.0
2001,Óbanvænt,Bæði,Íslenskt,1367.0
2002,Óbanvænt,Bæði,Íslenskt,1353.0
2003,Óbanvænt,Bæði,Íslenskt,1371.0
2004,Óbanvænt,Bæði,Íslenskt,1371.0
2005,Óbanvænt,Bæði,Íslenskt,1218.0
2006,Óbanvænt,Bæði,Íslenskt,1226.0
2007,Óbanvænt,Bæði,Íslenskt,1291.0
2008,Óbanvænt,Bæði,Íslenskt,1449.0
2009,Óbanvænt,Bæði,Íslenskt,1185.0
2010,Óbanvænt,Bæði,Íslenskt,1183.0
2011,Óbanvænt,Bæði,Íslenskt,1383.0
2012,Óbanvænt,Bæði,Íslenskt,1456.0
2013,Óbanvænt,Bæði,Íslenskt,1552.0
2014,Óbanvænt,Bæði,Íslenskt,1688.0
2015,Óbanvænt,Bæði,Íslenskt,1794.0
2016,Óbanvænt,Bæði,Íslenskt,1745.0
2017,Óbanvænt,Bæði,Íslenskt,1701.0
2018,Óbanvænt,Bæði,Íslenskt,1652.0
2019,Óbanvænt,Bæði,Íslenskt,1677.0
